setting_name,model_name,pooling,layer,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,n_splits,ident_accuracy_mean,ident_accuracy_std,gen_accuracy_mean,gen_accuracy_std,mean_pairwise_cosine_similarity_mean,mean_pairwise_cosine_similarity_std,mean_pairwise_cosine_distance_mean,mean_pairwise_cosine_distance_std,pairwise_cosine_similarity_std_mean,pairwise_cosine_similarity_std_std,pairwise_cosine_distance_std_mean,pairwise_cosine_distance_std_std
easy_s40,vit_base_patch16_224,cls,layer_0,40,80,0.0,noise_shift,5.0,2,0.0,5,100.0,0.0,5.5,1.5,0.9997190523091918,3.425594157573745e-05,0.0002809476908081568,3.4255941575672984e-05,0.00020154916942315512,4.448487019052162e-05,0.00020154916942315512,4.448487019052162e-05
easy_s40,vit_base_patch16_224,cls,layer_1,40,80,0.0,noise_shift,5.0,2,0.0,5,100.0,0.0,8.25,3.2210246816812815,0.9977889840939669,0.00012118767044084107,0.0022110159060332577,0.00012118767044080097,0.0010509641689445445,6.897279845760987e-05,0.0010509641689445443,6.89727984576098e-05
easy_s40,vit_base_patch16_224,cls,layer_2,40,80,0.0,noise_shift,5.0,2,0.0,5,100.0,0.0,9.25,3.6742346141747677,0.9970827691662294,0.00014074891821752984,0.002917230833770506,0.00014074891821758834,0.0011620966218129753,7.672797009319451e-05,0.0011620966218129753,7.672797009319456e-05
easy_s40,vit_base_patch16_224,cls,layer_3,40,80,0.0,noise_shift,5.0,2,0.0,5,99.0,2.0,11.5,5.989574275355469,0.993479304096781,0.0001994511452275979,0.0065206959032190984,0.00019945114522759526,0.0020924114653250742,0.00015846240807401994,0.0020924114653250742,0.00015846240807401994
easy_s40,vit_base_patch16_224,cls,layer_4,40,80,0.0,noise_shift,5.0,2,0.0,5,99.0,1.224744871391589,12.25,4.962358310319802,0.9845521325093841,0.0003512591828552193,0.015447867490615965,0.0003512591828551682,0.00546786595627667,0.00035482652584641815,0.00546786595627667,0.00035482652584641815
easy_s40,vit_base_patch16_224,cls,layer_5,40,80,0.0,noise_shift,5.0,2,0.0,5,100.0,0.0,12.25,5.267826876426369,0.9646050147196107,0.0005967401529773369,0.035394985280389354,0.0005967401529773446,0.009740839339293515,0.0003424216643960595,0.009740839339293515,0.0003424216643960595
easy_s40,vit_base_patch16_224,cls,layer_6,40,80,0.0,noise_shift,5.0,2,0.0,5,100.0,0.0,14.5,4.373213921133975,0.9368786553846146,0.001318325160826131,0.06312134461538547,0.0013183251608261646,0.016986720749263117,0.000916689322445057,0.016986720749263117,0.000916689322445057
easy_s40,vit_base_patch16_224,cls,layer_7,40,80,0.0,noise_shift,5.0,2,0.0,5,100.0,0.0,18.5,3.4820970692960294,0.9489855057135903,0.0013501613239418715,0.05101449428640962,0.0013501613239418355,0.011597312662769433,0.0008690592874781181,0.011597312662769433,0.0008690592874781181
easy_s40,vit_base_patch16_224,cls,layer_8,40,80,0.0,noise_shift,5.0,2,0.0,5,100.0,0.0,30.75,2.8062430400804566,0.9543128572355813,0.001350881643168472,0.045687142764418556,0.0013508816431684718,0.008239857533270185,0.0004718368590399577,0.008239857533270185,0.0004718368590399577
easy_s40,vit_base_patch16_224,cls,layer_9,40,80,0.0,noise_shift,5.0,2,0.0,5,100.0,0.0,43.0,3.409545424246464,0.9479277940993761,0.001520383981633096,0.05207220590062382,0.0015203839816330376,0.00907123385702295,0.000321529542170967,0.00907123385702295,0.000321529542170967
